,Title,Published_date,Views,Likes,Comments,Month
77,#66DaysOfData Round 3 Live Event! (feat. @statquest),2021-10-12,2205,123,5,Oct
78,Roasting My First Data Science Project (Common Project Mistakes),2021-10-08,5914,282,64,Oct
79,Is Data Visualization Important for Data Science? (A Data Scientist's Perspective),2021-08-20,12793,529,112,Aug
80,Project Presentation - Expectations vs. Reality (funny) #shorts,2021-08-07,10206,433,32,Aug
81,Data Science Project - Expectations vs Reality (funny) #shorts,2021-08-06,41072,1598,32,Aug
82,How I Learned to Learn.,2021-07-31,50793,2367,209,Jul
83,Is Spotify Shuffle Really Random? #Shorts,2021-07-21,10508,581,50,Jul
84,I Eat a Papaya Live on Stream (Plus Q&A for 150K Subs!),2021-07-16,2395,93,30,Jul
85,Why are APIs Important for Data Science?,2021-07-09,9901,453,95,Jul
86,Is Your Phone REALLY Listening to You?,2021-07-03,5176,280,116,Jul
87,Kaggle vs Github - Which is Best for Your Data Science Portfolio?,2021-06-25,15208,600,121,Jun
88,#66DaysOfData - 3 Reasons to Start!,2021-06-18,4093,225,41,Jun
89,#66DaysOfData - What is it? #shorts,2021-06-11,9154,393,54,Jun
90,A Quick Data Science Project Tip! #SHORTS,2021-06-03,16637,1016,89,Jun
91,Discouraged with Data Science? - Watch THIS video.,2021-05-28,7447,391,195,May
92,How Data Science Projects Pay Off,2021-05-22,10660,598,146,May
93,How I Use Data to Optimize My Life | What I Collect & How I Analyze It,2021-05-14,10599,490,134,May
94,What is a lambda function (python)? #shorts,2021-05-13,15286,942,49,May
95,Why Kaggle Should Be Your Favorite Data Science Resource #shorts,2021-05-07,29699,1575,64,May
96,What is Pandas? (Data & Data Science) #shorts,2021-04-30,23651,1214,87,Apr
97,The 7 Biggest Data Science  Beginner Mistakes,2021-04-23,77088,3430,284,Apr
98,Data Scientist Reacts: REAL Data Science Job Application Data,2021-04-16,23475,693,85,Apr
99,Why You Probably Won't Become a Data Scientist,2021-04-09,138092,4040,480,Apr
100,How to Go From Data Analyst to Data Scientist,2021-04-02,53541,1534,177,Apr
101,Why I Have 2 Offices for Data Science & Content Creation,2021-03-26,3976,138,92,Mar
102,MARCH MADNESS - Will My Machine Learning Model Beat Your Bracket?,2021-03-19,18172,350,108,Mar
103,My Regrets as a Data Science Student,2021-03-12,23934,882,112,Mar
104,My Daily Battle With Time - Will I Win? [Vlog],2021-03-08,3828,196,83,Mar
105,What is the Future of my Comment Leaderboard Project?,2021-02-26,5568,201,81,Feb
106,How to Build a Website  - Building my ULTIMATE Portfolio Website,2021-02-19,6716,172,51,Feb
107,Why I Quit Data Science,2021-02-12,104597,2342,346,Feb
108,🌶 Hot Topics in Tech: Data Science Explained #SHORTS,2021-01-29,10701,555,116,Jan
109,How I Balance Data Science and Content Creation (7 Secrets),2021-01-23,6994,294,126,Jan
110,Kaggle Project From Scratch - Part 3 (Advanced Graphs & Gender Imbalance Analysis),2021-01-16,9671,299,52,Jan
111,Kaggle Project From Scratch - Part 2 (Exploratory Data Analysis),2021-01-08,22557,695,134,Jan
112,Kaggle Project From Scratch - Part 1 (Data Science Profession Survey),2021-01-02,37564,1137,147,Jan
113,What is the #66DaysOfData?,2020-12-26,69807,2324,202,Dec
114,How I Would Learn Data Science in 2021 (What Has Changed?),2020-12-19,131418,5970,488,Dec
115,Unboxing the Ultimate Z by HP Data Science Package (FIRST EVER HP Workstation w/ Data Science Stack),2020-12-10,10884,397,133,Dec
116,I Built the FIRST EVER YouTube Subscriber LEADERBOARD,2020-12-07,23478,727,326,Dec
117,7 Things to Look For in a Masters For Data Science (feat. @TinaHuang1),2020-11-20,27830,855,160,Nov
118,6 Lessons from #66DaysOfData,2020-11-13,6728,340,93,Nov
119,100K Channel Update + AMA Stream!,2020-11-12,2319,127,22,Nov
120,Find a Data Science Project With These 3 Techniques,2020-11-06,16754,724,106,Nov
121,How I Chose My Masters Degree for Breaking into Data Science,2020-10-30,27034,673,155,Oct
122,git for Data Science Made Simple... (Hopefully),2020-10-23,19585,864,92,Oct
123,The PODCAST you might have asked for?,2020-10-19,2114,94,44,Oct
124,Dealing with Doubt in Data Science (My Impostor Syndrome Story),2020-10-16,6737,448,113,Oct
125,Advice from a Data Analytics CEO (@How to Get an Analytics Job) - KNN EP. 17,2020-10-14,14080,414,47,Oct
126,Data Science Resume Round-Up With @Tina Huang  | Episode 3,2020-10-12,6773,142,62,Oct
127,5 Unusual Data Science Projects that Will Land You a Job,2020-10-09,11459,564,83,Oct
128,Sh*t Data Scientists Say (Parody),2020-10-05,9480,577,143,Oct
129,5 Proven Strategies to Break into a Data Science Job,2020-10-02,8615,366,93,Oct
130,Why Data-Viz is so Darn Important (@Story by Data | Kate Strachnyi) - KNN EP. 16,2020-09-30,7067,289,61,Sep
131,Data Science Resume Round-Up With @TinaHuang1  - Episode 1,2020-09-28,11641,290,69,Sep
132,5 Essential Data Science Projects for Your Portfolio,2020-09-26,72703,3099,207,Sep
133,His Startup Will Land You a Data Science Job (Jeremie Harris) - KNN EP. 15,2020-09-23,5180,197,64,Sep
134,Reviewing Your Data Science Projects - Episode 21(The Cleanest Portfolio),2020-09-21,11782,458,58,Sep
135,"Hedge Funds, Startups, and Data Science Oh my! (@DataLeap) - KNN EP. 14",2020-09-18,7436,253,34,Sep
136,Land a Data Science Job in a Different Country (Vijay Pravin Maharajan) - KNN EP. 13,2020-09-16,5103,193,56,Sep
137,Reviewing Your Data Science Projects - Episode 20 (Bootcamp Capstone),2020-09-14,4243,158,35,Sep
138,The 5 Pillars of Success I Live By,2020-09-11,10137,874,152,Sep
139,Fast Cars to Faster Data (Alex Castrounis) - KNN EP. 12,2020-09-09,1889,78,25,Sep
140,Reviewing Your Data Science Projects - Episode 19 (One Big Improvement),2020-09-07,4027,162,43,Sep
141,How I Learn Data Science Through Studying Other People's Code | #66DaysOfData,2020-09-04,11803,735,144,Sep
142,How She Dominated the FAANG Data Science Interview  (@TinaHuang1 ) - KNN EP. 11,2020-09-02,17938,570,89,Sep
143,Reviewing Your Data Science Projects - Episode 18 (Job-Worthy GitHub),2020-08-31,17878,795,93,Aug
144,Why I'm Starting Data Science Over Again.,2020-08-29,50738,2605,450,Aug
145,Inside the Mind of the Ultimate Kaggle Grandmaster (@Abhishek Thakur ) - KNN EP. 10,2020-08-26,15095,629,77,Aug
146,Reviewing Your Data Science Projects - Episode 17 (Best Portfolio Website Yet?),2020-08-24,12841,458,55,Aug
